data,split,arquivo,categoria,motivo,referencia,distancia
2026-08-18T11:39:06,val,Acne__aug_103_pigmentation_0_4053.jpeg,acne,imagem_aumentada,,
2026-08-18T11:39:06,val,Acne__aug_109_2 (1).png,acne,imagem_aumentada,,
2026-08-18T11:39:06,val,Acne__aug_109_pigmentation_0_2061.jpeg,acne,imagem_aumentada,Acne__pigmentation_0_2061.jpeg,
2026-08-18T11:39:06,val,Acne__aug_110_pigmentation_0_1941.jpeg,acne,imagem_aumentada,Acne__pigmentation_0_1941.jpeg,
2026-08-18T11:39:06,val,Acne__aug_111_acne-face-12__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpeg,acne,imagem_aumentada,,
2026-08-18T11:39:06,val,Acne__aug_113_acne-pustular-43.jpg,acne,imagem_aumentada,,
2026-08-18T11:39:06,val,Acne__aug_113_acne-pustular-53.jpg,acne,imagem_aumentada,,
2026-08-18T11:39:06,val,Acne__aug_116_pigmentation_0_515.jpeg,acne,imagem_aumentada,,
2026-08-18T11:39:06,val,Acne__aug_117_154__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpeg,acne,imagem_aumentada,Acne__154__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpeg,
2026-08-18T11:39:06,val,Acne__aug_117_acne-open-comedo-10.jpg,acne,imagem_aumentada,,
2026-08-18T11:39:06,val,Acne__aug_120_pigmentation_0_4642.jpeg,acne,imagem_aumentada,,
2026-08-18T11:39:06,val,Acne__aug_123_acne-pustular-69.jpg,acne,imagem_aumentada,,
2026-08-18T11:39:06,val,Acne__aug_126_IMG_5737.jpg,acne,imagem_aumentada,,
2026-08-18T11:39:06,val,Acne__aug_127_pigmentation_0_2600.jpeg,acne,imagem_aumentada,,
2026-08-18T11:39:06,val,Acne__aug_128_R (13).jpg,acne,imagem_aumentada,Acne__R (13).jpg,
2026-08-18T11:39:06,val,Acne__aug_12_acne-cystic-47.jpg,acne,imagem_aumentada,Acne__acne-cystic-47.jpg,
2026-08-18T11:39:06,val,Acne__aug_12_acne-open-comedo-37.jpg,acne,imagem_aumentada,,
2026-08-18T11:39:06,val,Acne__aug_130_looking-at-acne-skin-800x534.jpg,acne,imagem_aumentada,Acne__looking-at-acne-skin-800x534.jpg,
2026-08-18T11:39:06,val,Acne__aug_132_R (28).jpg,acne,imagem_aumentada,,
2026-08-18T11:39:06,val,Acne__aug_134_acne-cystic-32.jpg,acne,imagem_aumentada,,
2026-08-18T11:39:06,val,Acne__aug_135_acne-cystic-49.jpg,acne,imagem_aumentada,,
2026-08-18T11:39:06,val,Acne__aug_139_acne-cystic-104.jpg,acne,imagem_aumentada,,
2026-08-18T11:39:06,val,Acne__aug_140_acne-closed-comedo-0031 - Copy.jpg,acne,imagem_aumentada,Acne__acne-closed-comedo-0031 - Copy.jpg,
2026-08-18T11:39:06,val,Acne__aug_141_pigmentation_0_2757.jpeg,acne,imagem_aumentada,,
2026-08-18T11:39:06,val,Acne__aug_142_acne-face-21__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDE4XQ.jpeg,acne,imagem_aumentada,,
2026-08-18T11:39:06,val,Acne__aug_144_acne-cystic-17.jpg,acne,imagem_aumentada,,
2026-08-18T11:39:06,val,Acne__aug_144_acne-vulgaris-pictures-61.jpg,acne,imagem_aumentada,,
2026-08-18T11:39:06,val,Acne__aug_146_acne-excoriated-15.jpg,acne,imagem_aumentada,,
2026-08-18T11:39:06,val,Acne__aug_147_hqdefault.jpg,acne,imagem_aumentada,,
2026-08-18T11:39:06,val,Acne__aug_14_pigmentation_0_2807.jpeg,acne,imagem_aumentada,Acne__pigmentation_0_2807.jpeg,
2026-08-18T11:39:06,val,Acne__aug_152_acne-089-v2__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpeg,acne,imagem_aumentada,,
2026-08-18T11:39:06,val,Acne__aug_153_pigmentation_0_4543.jpeg,acne,imagem_aumentada,Acne__pigmentation_0_4543.jpeg,
2026-08-18T11:39:06,val,Acne__aug_155_acne-pustular-13.jpg,acne,imagem_aumentada,Acne__acne-pustular-13.jpg,
2026-08-18T11:39:06,val,Acne__aug_156_pigmentation_0_1724.jpeg,acne,imagem_aumentada,Acne__pigmentation_0_1724.jpeg,
